CpuName,Price
Intel Core i5-560M,99.0
Intel Core i7-4600U,333.0
Intel Pentium Dual-Core T4200,19.0
Intel Pentium G3220T,154.0
Intel Pentium E6800,154.0
Intel Core i7-8565U,839.0
Intel Core i7-4960X,1900.0
Intel Core i3-4350,26.0
AMD Ryzen 3 1300,49.0
AMD Athlon X2 7850 BE,60.0
Intel Core i7-990X,160.0
Intel Pentium Dual-Core E2210,154.0
AMD Athlon 64 3000+,79.0
Intel Core i7-6900K,298.0
Intel Pentium G3430,147.0
AMD Athlon II X4 610e,60.0
AMD Ryzen Threadripper 2970WX,5140.0
Intel Core i3-5157U,92.0
Intel Core i7-5650U,499.0
Intel Core i7-4800MQ,488.0
Intel Core i7-8650U,619.0
Intel Core i7-970,523.0
Intel Core i3-7320,149.0
Intel Pentium G4520,154.0
Intel Core i5-540M,269.0
Intel Pentium Dual-Core T4500,154.0
Intel Core i3-2370M,367.0
Intel Pentium Silver J5005,219.0
Intel Core i5-8265U,1069.0
AMD Ryzen Threadripper 2990WX,36.0
Intel Core i3-3240T,92.0
Intel Core i5-3317U,453.0
AMD Ryzen 3 2200U,56.0
Intel Pentium Dual-Core E2160,147.0
Intel Core i7-975,28.0
AMD Athlon X2 5050e,79.0
AMD Athlon II X2 250u,79.0
AMD FX-6330,419.0
Intel Core i7-4900MQ,279.0
