GpuName,Price
ATI Radeon HD 4770,17.0
ATI Mobility Radeon HD 5470,368.0
NVIDIA GeForce 8200,2199.0
NVIDIA GeForce G210 OEM,424.0
NVIDIA GeForce 310 OEM,440.0
ATI Radeon 2100 IGP,139.0
NVIDIA GeForce 9600 GSO 512,424.0
ATI Radeon HD 4650,1.0
NVIDIA GeForce 7100 GS,239.0
NVIDIA GeForce 7300 SE,1199
AMD Radeon HD 7990,590.0
AMD Radeon R9 FURY X,199.0
NVIDIA Quadro K620,48.0
Intel HD Graphics 5000,134.0
NVIDIA GeForce GT 640M Mac Edition,24.0
AMD Radeon Pro 555,499.0
AMD Radeon Pro 570,769.0
AMD Radeon R9 M290X,849.0
NVIDIA Quadro K610M,457.0
NVIDIA GeForce GTX 780M,503.0
NVIDIA GeForce GTX 880M,19.0
NVIDIA Quadro K2000D,210.0
AMD Radeon HD 8570 OEM,74.0
NVIDIA Quadro K600,24.0
NVIDIA Quadro P1000,219.0
AMD Radeon R9 360 OEM,299.0
NVIDIA GeForce GT 545 OEM,424.0
AMD Radeon R7 450 OEM,175.0
NVIDIA GeForce GTX 285,9.0
AMD FirePro 2270,158.0
NVIDIA GeForce 7100 + nForce 630i,429.0
AMD Radeon R9 370,149.0
NVIDIA Quadro 1000M,219.0
AMD Radeon HD 7670M,74.0
AMD FirePro M4150,140.0
AMD Radeon R7 M360,197.0
AMD Radeon HD 6730M,74.0
AMD Radeon HD 6630M,60.0
AMD Radeon R9 M275X,549.0
AMD Radeon HD 6790,60.0
AMD Radeon HD 8350 OEM,74.0
NVIDIA GeForce 7300 LE,424.0
NVIDIA GeForce 8100 + nForce 720a,429.0
ATI Radeon HD 5830,24.0
AMD Radeon RX 5700 XT 50th Anniversary,299.0
NVIDIA GeForce GTX 480,69.0
AMD Radeon RX 580,119.0
NVIDIA GeForce GT 635 OEM,424.0
NVIDIA GeForce GTX TITAN BLACK,737.0
NVIDIA GeForce GTX 760 Ti OEM,469.0
AMD Radeon Pro Vega 20,899.0
NVIDIA Quadro P2000,279.0
NVIDIA Quadro FX 1800,134.0
AMD Radeon R5 340X OEM,299.0
AMD Radeon R9 M375,649.0
AMD FirePro M6100,200.0
AMD Radeon R7 350 OEM,175.0
AMD Radeon RX 560X,24.0
AMD FirePro V4900,120.0
ATI Radeon HD 4850,60.0
NVIDIA Quadro K6000,295.0
AMD Radeon R9 M390X,60.0
NVIDIA GeForce 7300 GT,60.0
NVIDIA GeForce GTX 280,60.0
AMD Radeon R9 M395X,299.0
AMD Radeon R9 M380,233.0
AMD Radeon R9 295X2,349.0
AMD Radeon Pro 560X,945.0
NVIDIA Quadro P4000,420.0
NVIDIA GeForce 7600 GT,60.0
NVIDIA Quadro M4000,229.0
AMD Radeon R9 270 1024SP,299.0
NVIDIA GeForce 8600 GTS,60.0
NVIDIA GeForce GTX 465,60.0
NVIDIA Quadro K4000,169.0
AMD Radeon HD 6750M,60.0
NVIDIA Quadro K1200,179.0
NVIDIA Quadro FX 4600,159.0
AMD FirePro W7100,480.0
NVIDIA Quadro RTX 5000,999.0
NVIDIA TITAN RTX,1750.0
AMD Radeon Pro 560,60.0
AMD Radeon HD 8470 OEM,60.0
ATI Radeon HD 3450 AGP,95.0
NVIDIA NVS 3100M,250.0
AMD Radeon R5 435 OEM,299.0
NVIDIA Quadro FX 1700,66.0
AMD FirePro M4000,325.0
AMD Radeon HD 7670 OEM,74.0
AMD Radeon R5 230,92.0
NVIDIA GeForce 7050 + nForce 620i,429.0
NVIDIA NVS 315,64.0
AMD FirePro M3900,159.0
NVIDIA GeForce GT 420M,60.0
NVIDIA GeForce GT 330M,60.0
AMD Radeon HD 7450M,74.0
NVIDIA GeForce GTS 240 OEM,424.0
ATI FirePro V4800,60.0
AMD Radeon R9 255 OEM,299.0
NVIDIA GeForce GTX 960A,219.0
AMD Radeon HD 6970M,60.0
NVIDIA GeForce GTX 775M Mac Edition,149.0
AMD FirePro V5900,203.0
NVIDIA GeForce GT 230,60.0
NVIDIA GeForce GTX 590,25.0
NVIDIA GeForce GTX 275,60.0
NVIDIA Quadro FX 4800,169.0
NVIDIA Quadro 2000D,144.0
NVIDIA Quadro K2200,185.0
NVIDIA Quadro 3000M,399.0
AMD Radeon HD 6870M,139.0
AMD Radeon R7 M270,175.0
